id;ref;type;photo;photo_content_type
1;payment program Frozen;envisioneer frictionless;../fake-data/blob/hipster.png;image/png
2;orchestration;global Home TCP;../fake-data/blob/hipster.png;image/png
3;primary Coordinateur;Plastic;../fake-data/blob/hipster.png;image/png
4;metrics Account;Account bus;../fake-data/blob/hipster.png;image/png
5;CSS orange;web;../fake-data/blob/hipster.png;image/png
6;B2C des invoice;mobile;../fake-data/blob/hipster.png;image/png
7;Swedish niches a;Steel;../fake-data/blob/hipster.png;image/png
8;deposit;neural a redundant;../fake-data/blob/hipster.png;image/png
9;invoice;b Ingenieur;../fake-data/blob/hipster.png;image/png
10;a Cotton;Gourde Licensed;../fake-data/blob/hipster.png;image/png
