id;lebelle;photo;photo_content_type
1;fresh-thinking;../fake-data/blob/hipster.png;image/png
2;Île-de-France plug-and-play;../fake-data/blob/hipster.png;image/png
3;empowering;../fake-data/blob/hipster.png;image/png
4;website SCSI;../fake-data/blob/hipster.png;image/png
5;back-end;../fake-data/blob/hipster.png;image/png
6;Ergonomic foreground;../fake-data/blob/hipster.png;image/png
7;COM programming;../fake-data/blob/hipster.png;image/png
8;Soft orchestration;../fake-data/blob/hipster.png;image/png
9;fault-tolerant Saint-Jacques Chine;../fake-data/blob/hipster.png;image/png
10;Agent a;../fake-data/blob/hipster.png;image/png
