id;type;valeur;unite;date
1;Jewelery overriding;83746;HDD;2022-04-18T01:39:33
2;Pizza bandwidth Peso;8580;Directeur;2022-04-17T23:32:48
3;a;41014;Keyboard parse invoice;2022-04-18T09:03:40
4;green Practical;87304;Île-de-France;2022-04-17T22:57:29
5;Account Pula virtual;51400;Rustic;2022-04-17T21:00:55
6;transmitter Midi-Pyrénées;77619;feed des Cap-Vert;2022-04-18T02:58:43
7;c;52138;clear-thinking Extended;2022-04-18T14:04:41
8;program Suède Faubourg-Saint-Denis;36313;cross-platform;2022-04-18T00:14:49
9;a orchid;52425;turn-key Sausages compress;2022-04-17T18:03:44
10;Mouse;53771;seamless Fresh sky;2022-04-17T20:44:59
