id;libelle;photo;photo_content_type;racine
1;b tolerance;../fake-data/blob/hipster.png;image/png;circuit innovative
2;backing Licensed magenta;../fake-data/blob/hipster.png;image/png;Car orchestrate
3;redundant reboot;../fake-data/blob/hipster.png;image/png;Computer
4;wireless SCSI a;../fake-data/blob/hipster.png;image/png;Buckinghamshire Gloves
5;transmitting;../fake-data/blob/hipster.png;image/png;high-level optimizing
6;Future-proofed;../fake-data/blob/hipster.png;image/png;Health Synchronised
7;Berkshire Account;../fake-data/blob/hipster.png;image/png;Monsieur-le-Prince
8;Concrete;../fake-data/blob/hipster.png;image/png;solid Bedfordshire
9;Small Account deploy;../fake-data/blob/hipster.png;image/png;Market Automated Investment
10;green multi-byte Borders;../fake-data/blob/hipster.png;image/png;Corse Account invoice
