id;libelle;humidite_max;humidite_min;temperature;luminosite
1;networks azure;69373;84126;18630;76130
2;Gloves Champagne-Ardenne bandwidth;18126;40936;22333;46683
3;Berkshire Rhône-Alpes;7803;87482;95649;12270
4;Technicien bypassing;12186;20057;55693;19584
5;navigate overriding;13325;45925;48420;17633
6;Adaptive;57199;44666;5117;73930
7;c Aquitaine IB;83633;15332;29626;21686
8;streamline;62872;98647;18468;51931
9;calculate primary Irak;95223;35374;52600;2932
10;Home Bedfordshire Enhanced;48144;47862;73048;26372
