id;libelle;superficie;photo;photo_content_type
1;connecting;36187;../fake-data/blob/hipster.png;image/png
2;green Cambridgeshire;79146;../fake-data/blob/hipster.png;image/png
3;architecture Yuan solutions;39397;../fake-data/blob/hipster.png;image/png
4;Clothing Steel Reactive;17077;../fake-data/blob/hipster.png;image/png
5;Technicien;38014;../fake-data/blob/hipster.png;image/png
6;knowledge;68861;../fake-data/blob/hipster.png;image/png
7;Bourgogne architectures haptic;84914;../fake-data/blob/hipster.png;image/png
8;Saint-Honoré orange;23504;../fake-data/blob/hipster.png;image/png
9;mobile;32135;../fake-data/blob/hipster.png;image/png
10;SQL;14767;../fake-data/blob/hipster.png;image/png
